State ,County
01: AL, 073: Jefferson County
01: AL, 089: Madison County
01: AL, 097: Mobile County
01: AL, 101: Montgomery County
01: AL," 1000: In a County, not specified"
02: AK, 020: Anchorage Municipality
02: AK, 090: Fairbanks North Star Borough
02: AK, 110: Juneau City and Borough
02: AK, 122: Kenai Peninsula Borough
02: AK, 170: Matanuska-Susitna Borough
02: AK," 1001: In a County, not specified"
04: AZ, 013: Maricopa County
04: AZ, 019: Pima County
04: AZ," 1002: In a County, not specified"
05: AR, 007: Benton County
05: AR, 119: Pulaski County
05: AR, 143: Washington County
05: AR," 1003: In a County, not specified"
06: CA, 001: Alameda County
06: CA, 013: Contra Costa County
06: CA, 019: Fresno County
06: CA, 029: Kern County
06: CA, 037: Los Angeles County
06: CA, 059: Orange County
06: CA, 065: Riverside County
06: CA, 067: Sacramento County
06: CA, 071: San Bernardino County
06: CA, 073: San Diego County
06: CA, 075: San Francisco County
06: CA, 077: San Joaquin County
06: CA, 081: San Mateo County
06: CA, 085: Santa Clara County
06: CA, 097: Sonoma County
06: CA, 099: Stanislaus County
06: CA, 107: Tulare County
06: CA, 111: Ventura County
06: CA," 1004: In a County, not specified"
08: CO, 001: Adams County
08: CO, 005: Arapahoe County
08: CO, 013: Boulder County
08: CO, 031: Denver County
08: CO, 035: Douglas County
08: CO, 041: El Paso County
08: CO, 059: Jefferson County
08: CO, 069: Larimer County
08: CO," 1005: In a County, not specified"
09: CT, 001: Fairfield County
09: CT, 003: Hartford County
09: CT, 009: New Haven County
09: CT, 011: New London County
09: CT," 1006: In a County, not specified"
10: DE, 001: Kent County
10: DE, 003: New Castle County
10: DE, 005: Sussex County
11: DC, 001: District of Columbia
12: FL, 001: Alachua County
12: FL, 009: Brevard County
12: FL, 011: Broward County
12: FL, 031: Duval County
12: FL, 033: Escambia County
12: FL, 057: Hillsborough County
12: FL, 069: Lake County
12: FL, 071: Lee County
12: FL, 073: Leon County
12: FL, 083: Marion County
12: FL, 086: Miami-Dade County
12: FL, 095: Orange County
12: FL, 097: Osceola County
12: FL, 099: Palm Beach County
12: FL, 101: Pasco County
12: FL, 103: Pinellas County
12: FL, 105: Polk County
12: FL, 115: Sarasota County
