approve_date,effective_date,State,County,City,Action,fips_5
2021-10-01, 2021-10-01, California, Humbolt, Arcata, Deprioritized, 06023
2019-06-01, 2019-06-01, California, Alameda, Oakland, Deprioritized, 06001
2020-12-01, 2020-12-01, California, Alameda, Oakland, Decriminalized, 06001
2023-07-01, 2023-07-01, California, Alameda, Berkeley, Deprioritized, 06001
2023-10-01, 2023-10-01, California, Humbolt, Eureka, Decriminalized, 06023
2022-09-01, 2022-09-01, California, San Francisco, San Francisco, Deprioritized, 06075
2020-01-01, 2020-01-01, California, Santa Cruz, Santa Cruz, Deprioritized, 06087
2022-11-01, 2022-11-01, Colorado, Adams, All, Legalized, 08001
2022-11-01, 2022-11-01, Colorado, Arapahoe, All, Legalized, 08005
2022-11-01, 2022-11-01, Colorado, Boulder, All, Legalized, 08013
2022-11-01, 2022-11-01, Colorado, Denver, All, Legalized, 08031
2022-11-01, 2022-11-01, Colorado, Douglas, All, Legalized, 08035
2022-11-01, 2022-11-01, Colorado, El Paso, All, Legalized, 08041
2022-11-01, 2022-11-01, Colorado, Jefferson, All, Legalized, 08059
2022-11-01, 2022-11-01, Colorado, Larimer, All, Legalized, 08069
2022-11-01, 2022-11-01, Colorado, State-Wide, All, Legalized, 08000
2019-12-01, 2019-12-01, Colorado, Denver, Denver, Deprioritized, 08031
2021-03-01, 2021-03-01, District of Columbia, Washington, Deprioritized, 11001
2021-05-01, 2021-05-01, Massachusetts, Middlesex, Cambridge, Deprioritized, 25017
2022-01-01, 2022-01-01, Massachusetts, Hampshire, Easthampton, Deprioritized, 25015
2021-06-01, 2021-06-01, Massachusetts, Hampshire, Northampton, Deprioritized, 25015
2021-04-01, 2021-04-01, Massachusetts, Middlesex, Somerville, Deprioritized, 25017
2020-12-01, 2020-12-01, Michigan, Washtenaw, Ann Arbor, Deprioritized, 26161
2022-01-01, 2022-01-01, Michigan, Wayne, Detroit, Decriminalized, Deprioritized, 26163
2021-12-01, 2021-12-01, Michigan, Kent, Grand Rapids, Support decriminalization, 26081
2022-06-01, 2022-06-01, Michigan, Oakland, Hazel Park, Decriminalized, 26125
2021-04-01, 2021-04-01, Michigan, Washtenaw, Washtenaw County, Deprioritized, 26161
2023-05-01, 2023-05-01, Michigan, Oakland, Ferndale, Decriminalized, 26125
2024-04-01, 2024-04-01, Michigan, Washtenaw, Ypsilanti, Deprioritized, 26161
2021-02-01, 2021-02- 01, Oregon, State-Wide, State-Wide, Decriminalized, 41000
2023-01-01, 2023-01-01, Oregon, Clackamas, All, Legalized, 41005
2023-01-01, 2023-01-01, Oregon, Lane, All, Legalized, 41039
2023-01-01, 2023-01-01, Oregon, Marion, All, Legalized, 41047
2023-01-01, 2023-01-01, Oregon, Multnomah, All, Legalized, 41051
2023-01-01, 2023-01-01, Oregon, Washington, All, Legalized, 41067
2024-05-01, 2024-05-01, Oregon, Clackamas, All, Decriminalization, 41005
2024-05-01, 2024-05-01, Oregon, Lane, All, Decriminalization, 41039
2024-05-01, 2024-05-01, Oregon, Marion, All, Decriminalization, 41047
2024-05-01, 2024-05-01, Oregon, Multnomah, All, Decriminalization, 41051
2024-05-01, 2024-05-01, Oregon, Washington, All, Decriminalization, 41067
2024-05-01, 2024-05- 01, Oregon, State-Wide, State-Wide, Decriminalization, 41000
2024-09-01, 2024-09-01, Oregon, Clackamas, All, Possession reclassified as Misdemeanor, 41005
2024-09-01, 2024-09-01, Oregon, Lane, All, Possession reclassified as Misdemeanor, 41039
2024-09-01, 2024-09-01, Oregon, Marion, All, Possession reclassified as Misdemeanor, 41047
2024-09-01, 2024-09-01, Oregon, Multnomah, All, Possession reclassified as Misdemeanor, 41051
2024-09-01, 2024-09-01, Oregon, Washington, All, Possession reclassified as Misdemeanor, 41067
2024-09-01, 2024-09- 01, Oregon, State-Wide, State-Wide, Possession reclassified as Misdemeanor, 41000
2021-12-01, 2021-12-01, Washington, Jefferson, City of Port Townsend, Deprioritized, 53031
2021-07-01, 2021-07-01, Washington, Clark, All, Decriminalized, 53011
2021-07-01, 2021-07-01, Washington, King, All, Decriminalized, 53033
2021-07-01, 2021-07-01, Washington, Pierce, All, Decriminalized, 53053
2021-07-01, 2021-07-01, Washington, Snohomish, All, Decriminalized, 53061
2021-07-01, 2021-07-01, Washington, Spokane, All, Decriminalized, 53063
2021-07-01, 2021-07- 01, Washington, State-Wide, State-Wide, Decriminalized, 53000
2021-10-01, 2021-10-01, Washington, King, Seattle, Deprioritized, 53033
2023-07-01, 2023-07-01, Washington, Jefferson County, Deprioritized, 53031
2024-09-01, 2024-09-01, Washington, Thurston County, Olympia, Deprioritized, 53067
